season,week,name,partner,industry,age,p,rj,q,fr,n,placement,z_judge,z_fan
1,1,John O'Hurley,Charlotte Jorgensen,Entertainer,50.0,0.1834862385321101,1,0.16244454733370367,4,6,2,0.7399400733959445,-0.29277002188455997
1,1,Kelly Monaco,Alec Mazo,Entertainer,29.0,0.11926605504587157,6,0.16987773540922912,2,6,1,-2.0852856613885677,0.8783100656536799
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,42.0,0.1651376146788991,4,0.1955923988582406,1,6,5,-0.06726727939963043,1.4638501094227998
1,1,Rachel Hunter,Jonathan Roberts,Model,35.0,0.1834862385321101,2,0.1619333768292256,5,6,4,0.7399400733959445,-0.8783100656536799
1,1,Joey McIntyre,Ashly DelGrosso,Musician,32.0,0.1834862385321101,3,0.16304259854527225,3,6,3,0.7399400733959445,0.29277002188455997
1,1,Trista Sutter,Louis van Amstel,Entertainer,32.0,0.1651376146788991,5,0.14710934302432882,6,6,6,-0.06726727939963043,-1.4638501094227998
1,2,John O'Hurley,Charlotte Jorgensen,Entertainer,50.0,0.21487603305785125,1,0.14047306912100696,4,6,2,1.4372777341180687,-0.29277002188455997
1,2,Kelly Monaco,Alec Mazo,Entertainer,29.0,0.14049586776859505,5,0.19265393419559654,2,6,1,-0.7802364842355224,0.8783100656536799
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,42.0,0.11570247933884298,6,0.3593206008622634,1,6,5,-1.519407890353386,1.4638501094227998
1,2,Rachel Hunter,Jonathan Roberts,Model,35.0,0.19834710743801653,2,0.1368162197836603,5,6,4,0.9444967967061595,-0.8783100656536799
1,2,Joey McIntyre,Ashly DelGrosso,Musician,32.0,0.17355371900826447,3,0.144748909508543,3,6,3,0.20532539058829588,0.29277002188455997
1,2,Trista Sutter,Louis van Amstel,Entertainer,32.0,0.15702479338842976,4,0.025987266528929822,6,6,6,-0.28745554682361324,-1.4638501094227998
1,3,John O'Hurley,Charlotte Jorgensen,Entertainer,50.0,0.22641509433962265,2,0.19429080251988068,3,5,2,0.6298897789321863,-0.0
1,3,Kelly Monaco,Alec Mazo,Entertainer,29.0,0.19811320754716982,4,0.1928234657204248,4,5,1,-0.044992127066584744,-0.7071067811865475
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,42.0,0.12264150943396226,5,0.21954481497170902,2,5,5,-1.844677209729975,0.7071067811865475
1,3,Rachel Hunter,Jonathan Roberts,Model,35.0,0.24528301886792453,1,0.16110659650427295,5,5,4,1.0798110495980338,-1.414213562373095
1,3,Joey McIntyre,Ashly DelGrosso,Musician,32.0,0.20754716981132076,3,0.2322343202837126,1,5,3,0.17996850826633898,1.414213562373095
1,4,John O'Hurley,Charlotte Jorgensen,Entertainer,50.0,0.22826086956521738,3,0.26567295231966653,2,4,2,-0.7844645405527357,0.4472135954999579
1,4,Kelly Monaco,Alec Mazo,Entertainer,29.0,0.2826086956521739,1,0.20298114404099993,3,4,1,1.1766968108291047,-0.4472135954999579
1,4,Rachel Hunter,Jonathan Roberts,Model,35.0,0.2717391304347826,2,0.01567295131966675,4,4,4,0.7844645405527367,-1.3416407864998738
1,4,Joey McIntyre,Ashly DelGrosso,Musician,32.0,0.21739130434782608,4,0.5156729523196668,1,4,3,-1.1766968108291036,1.3416407864998738
1,5,John O'Hurley,Charlotte Jorgensen,Entertainer,50.0,0.3698630136986301,1,0.16874586718150825,3,3,2,1.382189480930177,-1.224744871391589
1,5,Kelly Monaco,Alec Mazo,Entertainer,29.0,0.3219178082191781,2,0.5020792015148416,1,3,1,-0.43193421279067923,1.224744871391589
1,5,Joey McIntyre,Ashly DelGrosso,Musician,32.0,0.3082191780821918,3,0.3291749313036502,2,3,3,-0.9502552681394956,-0.0
1,6,John O'Hurley,Charlotte Jorgensen,Entertainer,50.0,0.4954128440366973,2,0.44459524098111447,2,2,2,-1.0,-1.0
1,6,Kelly Monaco,Alec Mazo,Entertainer,29.0,0.5045871559633027,1,0.5554047590188854,1,2,1,1.0,1.0
2,1,Tatum O'Neal,Nick Kosovich,Entertainer,42.0,0.11794871794871795,2,0.09470402036497677,9,10,9,0.8904382398008722,-1.2185435916898848
2,1,Tia Carrere,Maksim Chmerkoskiy,Entertainer,39.0,0.10256410256410256,6,0.09792474787561856,6,10,6,0.12720546282869563,-0.17407765595569785
2,1,George Hamilton,Edyta Sliwinska,Entertainer,66.0,0.09230769230769231,8,0.09792428846140666,7,10,5,-0.3816163884860883,-0.5222329678670935
2,1,Lisa Rinna,Louis van Amstel,Entertainer,42.0,0.09743589743589744,7,0.09792491772124509,5,10,4,-0.12720546282869633,0.17407765595569785
2,1,Stacy Keibler,Tony Dovolani,Athlete,26.0,0.11282051282051282,4,0.09792501559347201,4,10,3,0.6360273141434802,0.5222329678670935
2,1,Jerry Rice,Anna Trebunskaya,Athlete,43.0,0.1076923076923077,5,0.09824680872682932,2,10,2,0.3816163884860883,1.2185435916898848
2,1,Giselle Fernandez,Jonathan Roberts,Media/Politics,44.0,0.11794871794871795,3,0.09727055248280693,8,10,8,0.8904382398008722,-0.8703882797784892
2,1,Master P,Ashly DelGrosso,Musician,35.0,0.06153846153846154,10,0.1600773018497233,1,10,7,-1.9080819424304416,1.5666989036012806
2,1,Drew Lachey,Cheryl Burke,Musician,29.0,0.12307692307692308,1,0.09792504607419848,3,10,1,1.1448491654582649,0.8703882797784892
2,1,Kenny Mayne,Andrea Hale,Athlete,46.0,0.06666666666666667,9,0.06007730084972288,10,10,10,-1.6536710167730495,-1.5666989036012806
2,2,Tatum O'Neal,Nick Kosovich,Entertainer,42.0,0.085,8,0.07066581063312172,9,9,9,-1.307574977575444,-1.5491933384829668
2,2,Tia Carrere,Maksim Chmerkoskiy,Entertainer,39.0,0.11,5,0.10732926432567973,6,9,6,-0.05564148840746539,-0.3872983346207417
2,2,George Hamilton,Edyta Sliwinska,Entertainer,66.0,0.11,6,0.10732414380846449,7,9,5,-0.05564148840746539,-0.7745966692414834
2,2,Lisa Rinna,Louis van Amstel,Entertainer,42.0,0.1,7,0.10733143198703989,5,9,4,-0.5564148840746567,-0.0
2,2,Stacy Keibler,Tony Dovolani,Athlete,26.0,0.145,1,0.10733254557151925,4,9,3,1.6970653964277045,0.3872983346207417
2,2,Jerry Rice,Anna Trebunskaya,Athlete,43.0,0.115,4,0.11093484048242866,2,9,2,0.1947452094261306,1.161895003862225
2,2,Giselle Fernandez,Jonathan Roberts,Media/Politics,44.0,0.12,3,0.0999721821081118,8,9,8,0.4451319072597259,-1.161895003862225
2,2,Master P,Ashly DelGrosso,Musician,35.0,0.08,9,0.18177692274423288,1,9,7,-1.55796167540904,1.5491933384829668
